,TP,TN,FP,FN,ACC,TPR,FPR
181,2779,3375,3422,2638,0.5038480432290814,0.5130145837179251,0.5034574076798588
182,2627,3431,3381,2775,0.4959882102505322,0.4863013698630137,0.4963300058719906
183,2679,3380,3436,2719,0.4960700835107254,0.49629492404594294,0.5041079812206573
184,2710,3489,3362,2653,0.5075323399377764,0.5053141898191311,0.49073128010509415
185,2767,3367,3396,2684,0.502210578025217,0.5076132819666116,0.502144018926512
186,2701,3485,3383,2645,0.5064679875552645,0.5052375607931163,0.49257425742574257
187,2690,3438,3321,2765,0.5017193384640576,0.4931255728689276,0.49134487350199735
188,2752,3408,3286,2768,0.5043392827902408,0.4985507246376812,0.4908873618165521
189,2717,3352,3377,2768,0.4968888161126576,0.4953509571558797,0.5018576311487591
190,2737,3416,3336,2725,0.5037661699688881,0.5010984987184182,0.4940758293838863
191,2704,3371,3358,2781,0.49738005567381693,0.49298085688240656,0.4990340318026453
192,2716,3461,3307,2730,0.5057311282135255,0.4987146529562982,0.48862293144208035
193,2734,3388,3402,2690,0.5012280989028983,0.5040560471976401,0.5010309278350515
194,2748,3397,3435,2634,0.5031111838873424,0.5105908584169454,0.5027810304449649
195,2732,3419,3322,2741,0.5036024234485017,0.4991777818381144,0.4928052217771844
196,2688,3413,3424,2689,0.4995087604388407,0.49990701134461596,0.5008044463946175
197,2784,3372,3350,2708,0.5040117897494678,0.5069191551347414,0.49836358226718236
198,2704,3442,3337,2731,0.5031930571475356,0.49751609935602575,0.4922554949107538
199,2780,3344,3406,2684,0.5013918454232847,0.5087847730600292,0.5045925925925926
200,2726,3374,3338,2776,0.49942688717864747,0.4954561977462741,0.4973182359952324
201,2733,3400,3391,2690,0.5021287047650237,0.5039645952424857,0.4993373582682963
202,2781,3324,3380,2729,0.4998362534796136,0.5047186932849365,0.5041766109785203
203,2777,3356,3362,2719,0.5021287047650237,0.5052765647743813,0.5004465614766299
204,2660,3368,3355,2831,0.49353201244473555,0.4844290657439446,0.4990331697159006
205,2691,3345,3473,2705,0.49418699852628134,0.498702742772424,0.5093869169844529
206,2676,3443,3394,2701,0.5009824791223186,0.4976752836153989,0.49641655696943104
207,2685,3468,3323,2738,0.5037661699688881,0.49511340586391295,0.4893241054336622
208,2650,3469,3336,2759,0.5009824791223186,0.4899242004067295,0.4902277736958119
209,2655,3444,3329,2786,0.4993450139184542,0.4879617717331373,0.49151040897681975
210,2776,3295,3440,2703,0.49705256263304404,0.5066617995984669,0.5107646622123236
211,2733,3429,3379,2673,0.5045030293106272,0.5055493895671476,0.49632784958871917
212,2771,3426,3365,2652,0.5073685934173899,0.5109717868338558,0.4955087615962303
213,2655,3352,3505,2702,0.4918126739806779,0.49561321635243605,0.5111564824267172
214,2732,3352,3393,2737,0.49811691501555594,0.499542878039861,0.5030392883617495
215,2656,3453,3372,2733,0.5001637465203864,0.4928558174058267,0.4940659340659341
216,2670,3330,3473,2741,0.4912395611593254,0.4934392903345038,0.5105100690871675
217,2776,3284,3498,2656,0.4961519567709186,0.5110456553755522,0.5157770569153642
218,2693,3384,3386,2751,0.49754380219420336,0.4946730345334313,0.5001477104874447
219,2716,3417,3395,2686,0.5021287047650237,0.5027767493520918,0.49838520258367586
220,2754,3452,3287,2721,0.5081054527591289,0.503013698630137,0.48775782757085623
221,2672,3509,3331,2702,0.5060586212542983,0.4972087830294008,0.48698830409356725
222,2749,3339,3479,2647,0.4984444080563288,0.5094514455151964,0.5102669404517454
223,2664,3448,3364,2738,0.5004093663009661,0.4931506849315068,0.4938344098649442
224,2730,3352,3453,2679,0.49795316849516946,0.50471436494731,0.5074210139603232
225,2706,3427,3387,2694,0.5021287047650237,0.5011111111111111,0.49706486645142356
226,2780,3398,3328,2708,0.5058130014737187,0.5065597667638484,0.49479631281593817
227,2604,3390,3469,2751,0.49074832159816606,0.48627450980392156,0.5057588569762356
228,2760,3447,3392,2615,0.508187326019322,0.5134883720930232,0.49597894429010086
229,2737,3390,3366,2721,0.5016374652038644,0.5014657383657017,0.49822380106571934
230,2793,3428,3362,2631,0.5093335516620272,0.514933628318584,0.495139911634757
231,2746,3343,3375,2750,0.49852628131652205,0.49963609898107714,0.5023816612086931
232,2723,3411,3331,2749,0.502210578025217,0.49762426900584794,0.4940670424206467
233,2683,3363,3409,2759,0.4950057311282135,0.4930172730613745,0.5033963378617838
234,2696,3453,3301,2764,0.5034386769281153,0.4937728937728938,0.4887474089428487
235,2772,3341,3398,2703,0.5004912395611594,0.5063013698630137,0.5042291141118861
236,2677,3471,3276,2790,0.503356803667922,0.48966526431315166,0.48554913294797686
237,2679,3354,3449,2732,0.49394137874570165,0.4951025688412493,0.5069822137292371
238,2719,3361,3411,2723,0.49778942197478304,0.4996324880558618,0.5036916715888955
239,2785,3388,3366,2675,0.5054036351727526,0.51007326007326,0.498371335504886
240,2637,3414,3407,2756,0.4954150974291796,0.48896717967735953,0.49948687875678055
241,2727,3351,3428,2708,0.4976256754543966,0.5017479300827967,0.5056793037321139
242,2684,3455,3381,2694,0.5026199443261831,0.49907028635180367,0.4945874780573435
243,2755,3334,3428,2697,0.49852628131652205,0.5053191489361702,0.5069506063294883
